BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10188,Sage - Townhouses,SAG2,Complete,20110704,Housing,,UNA,Wesbrook,Private,Occupied,REAP Silver,Concrete,2,7.9658,1514,595,0,,new GBA taken from spreadsheet,GISSTUD2,20190514232334,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.233501,49.254987
VBL10193,Fairview Crescent Residence - Building 1,FAR1,Complete,19850101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,4,13.32157,11023,007-35;007-34;007-33;007-32;007-31;007-30;007-29;007-28;007-27;007-26;007-10;007-07;007-06;007-05;007-04;007-09;007-08;007-03;007-02;007-01,1,,,GISSTUD2,20190606184915,RACHELW,20230110211725,Duplex/Townhouse,Poor,,UBC,B5,,-123.239653,49.26332
VBL10198,Fairview Crescent Residence - Building 2,FAR2,Complete,19850101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,4,11.60937,9047,007-25;007-24;007-23;007-22;007-21;007-20;007-19;007-18;007-17;007-16;007-15;007-14;007-13;007-12;007-11,0,,,GISSTUD2,20190606184915,RACHELW,20230110211725,Duplex/Townhouse,Poor,,UBC,B5,,-123.239796,49.263001
VBL10199,Academy - Townhouses,ACD2,Complete,20140107,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,2,6.92942,732,596,0,,new GBA taken from spreadsheet,GISSTUD2,20190514232634,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.232786,49.255183
VBL10210,Binning Tower - Highrise,BINH,Complete,20160505,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,23,57.4637,17684,598,0,,new GBA taken from spreadsheet,GISSTUD2,20190516172718,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.231374,49.255441
VBL10024,Power House,POWR,Complete,19250101,Operations,,UBC,Academic,UBC,Unoccupied,,Concrete,4,15.89002,2448,724;724-1;724-2;724-3;725,0,,,,,RACHELW,20221207183928,Unspecified,Critical,,UBC,B3,,-123.254802,49.26521
VBL10241,The Laureates - Highrise,LAR1,Complete,20161223,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,25,57.88935,17190,589-1,0,,,GISSTUD2,20190514233055,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.230797,49.254108
VBL10244,Eton - Townhouses,ETN3,Complete,20190226,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,2,6.6825,1252,592,0,,,GISSTUD2,20190516182100,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.231519,49.253536
VBL10253,Thames Court - Townhouses,THAC2,Complete,19920724,Housing,,UNA,Hampton,Private,Occupied,,Wood,2,12.65,8816,502-1;502-2;502-3;502-4;502-5;502-6;502-7;502-8;502-9;502-10;502-11;502-12;502-15;502-16;502-17,0,,new GBA taken from spreadsheet,,,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.236162,49.257073
VBL10261,The Laureates - Apartment,LAR2,Complete,20170131,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Wood,7,15.85908,5196,589-2,0,,,GISSTUD2,20190514233136,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.231755,49.254211
VBL10264,Ivy on the Park - Townhouses,IVYT,Complete,20210816,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold Plus,Concrete,4,13.99,3929,597,0,,Wesbrook Place Lot 8,GISSTUD2,20190516173521,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.231834,49.254768
VBL10265,Ivy on the Park - Highrise,IVYH,Complete,20210816,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold Plus,Concrete,22,54.74654,17992,597,0,,Wesbrook Place Lot 8,GISSTUD2,20190516173353,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.230999,49.254718
VBL10271,Chancellor Hall - Townhouses,CHHT,Complete,20070101,Housing,,UNA,Chancellor,Private,Occupied,,Wood,4,9.88747,364,823,0,,new GBA taken from spreadsheet,GISSTUD2,20190514222145,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.250355,49.272187
VBL10277,Coast - Townhouses,COST,Complete,20090101,Housing,,UNA,Chancellor,Private,Occupied,REAP Bronze,Wood,3,6.52,710,832-3,0,,,GISSTUD2,20190514215859,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.253054,49.271069
VBL10281,West Hampstead - Building 1,WHM1,Complete,19931208,Housing,,UNA,Hampton,Private,Occupied,,Wood,4,18.49195,5384,501-12,0,,new GBA taken from spreadsheet,GISSTUD2,20190514231435,RACHELW,20230110211725,AptLess5Storey,,,,B5,,-123.235241,49.257587
VBL10290,Chancellor Hall - Apartment,CHHA,Complete,20070529,Housing,,UNA,Chancellor,Private,Occupied,,Concrete,7,18.14,5809,824,0,,new GBA taken from spreadsheet,GISSTUD2,20190514222145,RACHELW,20230110211725,AptLess5Storey,,,,B5,,-123.250461,49.271895
VBL10291,Folio - Duplexes,FOL3,Complete,20050101,Housing,,UNA,Chancellor,Private,Occupied,,Wood,4,12.51664,1944,827-1;827-2;827-3;827-4,0,,new GBA taken from spreadsheet,GISSTUD2,20190514222145,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.250604,49.272415
VBL10299,Binning Tower - Townhouses,BINT,Complete,20160505,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,3,7.55,1627,598,0,,new GBA taken from spreadsheet,GISSTUD2,20190516172718,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.231641,49.255275
VBL10309,Folio - Apartment,FOL1,Complete,20060101,Housing,,UNA,Chancellor,Private,Occupied,,Concrete,5,18.34,6015,825;825-1;825-2,0,,new GBA taken from spreadsheet,GISSTUD2,20190514214608,RACHELW,20230110211725,AptLess5Storey,,,,B5,,-123.24975,49.272098
VBL10316,Folio - Townhouses,FOL2,Complete,20060101,Housing,,UNA,Chancellor,Private,Occupied,,Wood,4,10.26,185,826,0,,new GBA taken from spreadsheet,GISSTUD2,20190514214608,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.250191,49.272249
VBL10336,Prodigy - Building 2,PRD2,Complete,20161123,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Wood,8,24.23,7163,711,0,,new GBA taken from spreadsheet,GISSTUD2,20190514235024,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.236605,49.251632
VBL10349,Prodigy - Building 1,PRD1,Complete,20161123,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Wood,8,23.51,9960,711,0,,new GBA taken from spreadsheet,GISSTUD2,20190514235024,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.235957,49.251667
VBL10239,Pathways - East Building,PTHE,Complete,20080227,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Steel,5,15.44182,5110,588-2,0,,,GISSTUD2,20190514233420,RACHELW,20230110211657,AptLess5Storey,,,,B5,,-123.23283,49.254669
VBL10240,Pathways - West Building,PTHW,Complete,20080227,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Steel,5,17.86,7095,588-1,0,,,GISSTUD2,20190514233510,RACHELW,20230110211657,AptLess5Storey,,,,B5,,-123.23382,49.254401
VBL10263,Walter H. Gage Residence - Commonsblock,WGR1,Complete,19720101,Services,StudentHousing,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,2,13.24,5156,869-1,0,,,GISSTUD2,20190514202702,RACHELW,20230110211657,Unspecified,Poor,,UBC,B2,,-123.249831,49.269529
VBL10273,Child Care Services - Kittiwake/Salal,CCS2,Complete,20080101,Services,,UBC,Academic,SHHS,Occupied,,Wood,1,6.74911,851,205,1,,,GISSTUD2,20190514224714,RACHELW,20230110211657,Unspecified,Good,,UBC,B2,,-123.235278,49.259997
VBL10055,Rugby Pavilion,RUGB,Complete,19630101,Athletics,,UBC,Academic,Athletics,Occupied,,Wood,1,3.12,367,760,0,,,,,TOML,20220224175718,Unspecified,Critical,,UBC,B3,,-123.244014,49.258676
VBL10060,HR MacMillan Building,MCML,Complete,19670101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,4,19.55714,14342,386,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.250746,49.261066
VBL10062,Chemical and Biological Engineering Building,CHBE,Complete,20050906,Academic,,UBC,Academic,UBC,Occupied,,Concrete,7,27.00832,11723,300,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.247066,49.262481
VBL10064,Wayne and William White Engineering Design Centre,EDC,Complete,20110808,Academic,,UBC,Academic,UBC,Occupied,,Concrete,3,14.34,1922,301,0,,,,,TOML,20220224175718,Unspecified,Good,,UBC,B2,,-123.248164,49.262333
VBL10298,Argyll House West,ARGW,Complete,20060519,Housing,,UNA,Chancellor,Private,Occupied,,Concrete,8,24.35,6921,837,0,,new GBA taken from spreadsheet,,,TOML,20220224175718,Apt5StoreyPlus,,,,B5,,-123.251327,49.270788
VBL10206,The Stratford,STRA,Complete,19980717,Housing,,UNA,Hampton,Private,Occupied,,Concrete,13,34.31,6848,506-1,0,,new GBA taken from spreadsheet,,,TOML,20220224175718,Apt5StoreyPlus,,,,B5,,-123.233455,49.259635
VBL10085,Fred Kaiser Building,KAIS,Complete,20041012,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,20.7,12792,313,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.250082,49.262371
VBL10094,Medical Sciences Block C,MEDC,Complete,19610101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,20.81,4017,525-3;523-3,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.247871,49.264969
VBL10095,Neville Scarfe Building,SCRF,Complete,19620101,Academic,,UBC,Academic,UBC,Occupied,,OtherMixed,6,21.13,19366,232;233;234;240-1;240-2,1,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.253091,49.263965
VBL10097,Lower Mall Header House,LMHH,Complete,19670101,Operations,,UBC,Academic,UBC,Occupied,,Concrete,3,9.91,943,024-5;024-3;024-6,1,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B3,,-123.254843,49.260527
VBL10111,Life Sciences Centre,LSC,Complete,20040820,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Concrete,8,31.9975,59596,529,0,,GBA from OSIS,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.245112,49.262548
VBL10113,Thunderbird Parkade,PART,Complete,20070119,Parking,,UBC,Academic,Parking,Occupied,,Concrete,5,18.25709,60060,551,0,,GBA from OSIS,,,TOML,20220224175718,Parking,Poor,,UBC,B4,,-123.243062,49.261659
VBL10116,St. John's College,STJC,Complete,19970101,StudentHousing,StudentHousing,UBC,Academic,SHHS,Occupied,,Wood,3,12.52361,17651,822-1;822-2;822-3,0,,,,,TOML,20220224175718,Unspecified,Critical,,UBC,B5,,-123.25679,49.262595
VBL10119,Forest Sciences Centre,FSC,Complete,19980101,Academic,,UBC,Academic,UBC,Occupied,,OtherMixed,6,25.59,22459,353,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.247827,49.260597
VBL10120,Friedman Building,FRDM,Complete,19610101,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Concrete,5,21.05765,6073,525-2;523-2,0,,,,,TOML,20220224175718,Unspecified,Good,,UBC,B2,,-123.246237,49.265368
VBL10121,Thunderbird Residence - Coast,THR4,Complete,19950101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,4,14.22,5163,783;783-1,0,,,GISSTUD2,20190514200023,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.250361,49.25897
VBL10122,Thunderbird Residence - Hazelton,THR5,Complete,19950101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,4,15.51935,5615,784;784-1,0,,,GISSTUD2,20190514200510,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.250846,49.259569
VBL10123,Staging Environmental Research Centre,SERC,Complete,20100101,Operations,,UBC,Academic,UBC,Occupied,,Steel,1,4.90044,321,767,0,,,,,TOML,20220224175718,Outbuildings,Good,,UBC,B3,,-123.228053,49.245383
VBL10098,Thunderbird Residence - Monashee,THR2,Complete,19950101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,4,11.69,5213,781;781-1,0,,,GISSTUD2,20190514195735,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.247557,49.259933
VBL10099,Hector J. MacLeod Building,MCLD,Complete,19630101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,4,16.58,7282,312,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.249401,49.261716
VBL10101,Music Building,MUSC,Complete,19670101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,4,22.7353,6593,575,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B1,,-123.256781,49.267437
VBL10104,Allard Hall,ALRD,Complete,20110829,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Concrete,5,25.52,15000,482,1,,,,,TOML,20220224175718,Unspecified,Good,,UBC,B2,,-123.253297,49.270044
VBL10107,School of Population & Public Health,SPPH,Complete,19790101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,17.45539,8280,513,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.248416,49.26424
VBL10108,Place Vanier Residence - Commonsblock,VNR03,Complete,19600101,Services,StudentHousing,UBC,Academic,SHHS,Occupied,,Concrete,3,13.98,5074,544,1,,,GISSTUD2,20190514205559,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.258583,49.26465
VBL10144,Hawthorn Green,HAWT,Complete,20040820,Housing,,UNA,Hawthorn,Private,Occupied,,Wood,3,15.08571,2051,618,0,,new GBA taken from spreadsheet,,,TOML,20220224175718,Duplex/Townhouse,,,,B5,,-123.248586,49.258174
VBL10436,Acadia Park Residence - Tennis Crescent,APR5,Complete,19880101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,3,11.08,841,009-08;010-07;010-08;010-09;010-10,0,,GBA from OSIS,RACHELW,20200716183842,TOML,20220224175718,Duplex/Townhouse,,,UBC,B5,,-123.237716,49.263483
VBL10406,Environmental Services Facility - PCB Equipment Storage,ENV5,Complete,19890101,Operations,,UBC,Academic,UBC,Temporary,,OtherMixed,1,2.69345,150,143,0,,,GISSTUD2,20190513230425,TOML,20220224175718,Outbuildings,,,UBC,B3,,-123.228049,49.243362
VBL10408,Environmental Services Facility - Natural Gas Station,ENV3,Complete,20141107,Operations,,UBC,Academic,UBC,Occupied,,OtherMixed,1,0.26989,65,146,0,,,GISSTUD2,20190513225734,TOML,20220224175718,Outbuildings,,,UBC,B3,,-123.228203,49.24362
VBL10414,Granite Terrace - Commercial,GRT2,Complete,20090902,Commercial,,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,3,15.12,1281,686,0,,new GBA taken from spreadsheet,GISSTUD2,20190717210931,TOML,20220224175718,Unspecified,,,,B5,,-123.236109,49.255066
VBL10129,Donald Rix Building,RIX,Complete,20000101,Administrative,Research,Non-UBC,Academic,UBCPT,Occupied,,Concrete,4,20.58,5008,458,0,,,,,TOML,20220224175718,Unspecified,,,,B2,LeasedFromUBC,-123.2463,49.261972
VBL10103,Djavad Mowafaghian Centre for Brain Health,CBH,Complete,20131121,Services,Research,Non-UBC,Academic,VCH,Occupied,LEED Gold,Concrete,6,29.99,13861,465,0,,Add GRP_ID,,,TOML,20220224175718,Unspecified,,,Shared,B2,LeasedFromUBC,-123.244569,49.264275
VBL10243,NRC Institute for Fuel Cell Innovation,NRC,Complete,20060606,Research,,Non-UBC,Academic,Non-UBC,Occupied,,Concrete,2,13.75,6598,591,0,,GBA from RRS,,,TOML,20220224175718,Unspecified,,,,B2,LeasedFromUBC,-123.232287,49.245182
VBL10302,Vancouver School of Theology,VST,Complete,20041030,Other,,Non-UBC,Chancellor,Non-UBC,Occupied,,Concrete,5,14.84,2553,838,0,,,,,TOML,20220224175718,Unspecified,,,,B5,LeasedFromUBC,-123.251044,49.270391
VBL10334,UBC Hospital - Detwiller Pavilion,DPAV,Complete,19680101,Services,Research,Non-UBC,Academic,VCH,Occupied,,Concrete,7,28.93,12963,537;537-1,0,,,,,TOML,20220224175718,Unspecified,,,Shared,B2,LeasedFromUBC,-123.244471,49.26356
VBL10114,St. Andrew's Hall,STH,Complete,19960101,Housing,,Non-UBC,Chancellor,Non-UBC,Occupied,,Wood,4,17.71703,6774,817-1;817-2;817-3;817-4,1,,,GISSTUD2,20190514223621,TOML,20220224175718,AptLess5Storey,,,,B5,LeasedFromUBC,-123.251748,49.270143
VBL10117,Fraser Hall,FRAS,Complete,20060317,StudentHousing,,UBC,EastCampus,SHHS,Occupied,REAP Bronze,Wood,5,14.85445,1115,553,0,,new GBA taken from spreadsheet,,,TOML,20220224175718,AptLess5Storey,,,UBC,B5,,-123.240766,49.261506
VBL10163,Abdul Ladha Science Student Centre,ALSC,Complete,20061221,Services,Academic,UBC,Academic,UBC,Occupied,,Wood,2,11.51,661,654,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B3,,-123.251356,49.266083
VBL10174,Green College - B East,GRN5,Complete,19940101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,4,14.3,1181,416,0,,,GISSTUD2,20190514204533,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.25601,49.270843
VBL10176,Green College - D Coach House,GRN6,Complete,19300101,StudentHousing,Other,UBC,Academic,SHHS,Occupied,,Wood,3,5.9007,104,412,0,,,GISSTUD2,20190606173848,TOML,20220224175718,Unspecified,Poor,,UBC,B5,,-123.256534,49.271144
VBL10177,Liu Institute for Global Issues,LIU,Complete,20000101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,4,11.19421,1713,496,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.259267,49.267549
VBL10180,Green College - Guest House,GRN9,Complete,19940101,StudentHousing,Housing,UBC,Academic,SHHS,Occupied,,Wood,3,10.84003,237,417,0,,,GISSTUD2,20190514204656,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.256515,49.27086
VBL10181,The Barn - Owl Child Care,BARN,Complete,19250101,Services,,UBC,Academic,SHHS,Occupied,,OtherMixed,2,11.17,304,051,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.251115,49.261931
VBL10190,Green College - Principal's Residence,GRN10,Complete,19940101,StudentHousing,Other,UBC,Academic,SHHS,Occupied,,Wood,3,11.55736,302,419,0,,,GISSTUD2,20190514204818,TOML,20220224175718,Duplex/Townhouse,Critical,,UBC,B5,,-123.256949,49.270911
VBL10192,Main Substation,MSUB,Complete,19750101,Operations,,UBC,Academic,UBC,Occupied,,Concrete,1,4.50938,345,789;789-1,0,,,,,TOML,20220224175718,Outbuildings,Critical,,UBC,B3,,-123.24437,49.261347
VBL10067,Henry Angus Building,ANGU,Complete,20090903,Academic,,UBC,Academic,UBC,Occupied,,Concrete,10,31.27,22458,023;026;023-1,1,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.253876,49.265106
VBL10068,Coal and Mineral Processing Laboratory,MINL,Complete,20110902,Academic,,UBC,Academic,UBC,Occupied,,Concrete,3,14.3125,1021,184;184-1,1,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.252039,49.261169
VBL10070,David Strangway Building,STRG,Complete,20051223,Academic,Administrative,UBC,Academic,UBCPT,Occupied,,Concrete,6,28.0578,11090,199,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,LeasedFromUBC,-123.246167,49.265838
VBL10073,Engineering Student Centre,ESC,Complete,20150909,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Wood,2,7.81,1076,310,0,,,,,TOML,20220224175718,Unspecified,Good,,UBC,B2,,-123.249278,49.262188
VBL10074,Spirit Park Apartments,SPPA,Complete,19930101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,4,15.88117,6503,770-1;770-2;770-3,1,,,,,TOML,20220224175718,AptLess5Storey,Fair,,UBC,B5,,-123.239374,49.261491
VBL10075,Sopron House,SOPR,Complete,19910101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,4,14.15136,6587,451,1,,,,,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.23534,49.262179
VBL10077,South Campus Warehouse,SCWH,Complete,19470101,Operations,,UBC,Academic,UBC,Occupied,,Wood,1,10.59662,2583,638,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B3,,-123.231863,49.246256
VBL10078,Institute for Computing Information and Cognitive Systems / Computer Science,ICCS,Complete,19930101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,8,29.68,19643,166;165,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.248832,49.261174
VBL10079,Thunderbird Residence - Cassiar,THR1,Complete,19950101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,4,13.31,21101,780;780-1,0,,,GISSTUD2,20190514195608,TOML,20220224175718,AptLess5Storey,Poor,,UBC,B5,,-123.246685,49.260243
VBL10080,Irving K. Barber Learning Centre,IBLC,Complete,19270101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,26.87,27316,516,0,,,,,TOML,20220224175718,Unspecified,Good,,UBC,B1,,-123.252738,49.267595
VBL10081,Jack Bell Building for the School of Social Work,SOWK,Complete,19920101,Academic,,UBC,Academic,UBC,Occupied,,Steel,4,18.22909,2712,750,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.2551,49.264474
VBL10083,Continuing Studies Building,CSB,Complete,19970101,Academic,Administrative,UBC,Academic,UBC,Occupied,,OtherMixed,3,11.69916,3813,160,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.255014,49.263338
VBL10084,Biomedical Research Centre,BRC,Complete,20050525,Academic,,UBC,Academic,UBC,Occupied,,Concrete,4,21.85126,4798,461,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.247194,49.264116
VBL10304,West Mall Swing Space Building,SWNG,Complete,20060103,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,23.63,5295,901,0,,,,,TOML,20220224175718,Unspecified,Fair,,UBC,B2,,-123.254385,49.262795
VBL10306,Child Care Services Administration Building,CCSA,Complete,19900101,Services,,UBC,Academic,SHHS,Occupied,,Wood,1,6.85,1205,155,1,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.234257,49.26093
